name,nodes,edges,terminals,nodes',edges',terminals',time,result
i080-001,80,120,6,35,69,6,0.001,1787
i080-002,80,120,6,37,70,6,0.000,1607
i080-003,80,120,6,36,70,6,0.001,1713
i080-004,80,120,6,36,67,5,0.000,1866
i080-005,80,120,6,41,78,6,0.000,1790
i080-011,80,350,6,80,350,6,0.003,1479
i080-012,80,350,6,80,350,6,0.001,1484
i080-013,80,350,6,80,350,6,0.002,1381
i080-014,80,350,6,80,350,6,0.003,1397
i080-015,80,350,6,80,350,6,0.002,1495
i080-021,80,3160,6,80,3152,6,0.001,1175
i080-022,80,3160,6,80,3153,6,0.002,1178
i080-023,80,3160,6,80,3156,6,0.002,1174
i080-024,80,3160,6,80,3154,6,0.003,1161
i080-025,80,3160,6,80,3158,6,0.002,1162
i080-031,80,160,6,61,136,6,0.002,1570
i080-032,80,160,6,59,135,6,0.002,2088
i080-033,80,160,6,62,140,6,0.002,1794
i080-034,80,160,6,61,134,6,0.002,1688
i080-035,80,160,6,67,143,6,0.002,1862
i080-041,80,632,6,80,632,6,0.002,1276
i080-042,80,632,6,80,632,6,0.002,1287
i080-043,80,632,6,80,632,6,0.004,1295
i080-044,80,632,6,80,632,6,0.003,1366
i080-045,80,632,6,80,632,6,0.004,1310
i080-101,80,120,8,40,68,7,0.001,2608
i080-102,80,120,8,40,76,7,0.001,2403
i080-103,80,120,8,42,76,8,0.003,2603
i080-104,80,120,8,38,72,8,0.002,2486
i080-105,80,120,8,40,72,6,0.001,2203
i080-111,80,350,8,80,350,8,0.008,2051
i080-112,80,350,8,80,350,8,0.012,1885
i080-113,80,350,8,79,348,8,0.010,1884
i080-114,80,350,8,80,350,8,0.008,1895
i080-115,80,350,8,80,350,8,0.012,1868
i080-121,80,3160,8,80,3147,8,0.007,1561
i080-122,80,3160,8,80,3151,8,0.007,1561
i080-123,80,3160,8,80,3149,8,0.010,1569
i080-124,80,3160,8,80,3149,8,0.010,1555
i080-125,80,3160,8,80,3150,8,0.008,1572
i080-131,80,160,8,64,140,8,0.004,2284
i080-132,80,160,8,58,133,8,0.004,2180
i080-133,80,160,8,59,132,8,0.006,2261
i080-134,80,160,8,62,142,8,0.010,2070
i080-135,80,160,8,62,138,8,0.005,2102
i080-141,80,632,8,80,632,8,0.010,1788
i080-142,80,632,8,80,632,8,0.013,1708
i080-143,80,632,8,80,632,8,0.010,1767
i080-144,80,632,8,80,632,8,0.012,1772
i080-145,80,632,8,80,632,8,0.009,1762
i080-201,80,120,16,42,80,11,0.013,4760
i080-202,80,120,16,40,73,12,0.015,4650
i080-203,80,120,16,26,44,9,0.003,4599
i080-204,80,120,16,41,73,13,0.017,4492
i080-205,80,120,16,39,69,10,0.005,4564
i080-211,80,350,16,80,350,16,20.219,3631
i080-212,80,350,16,79,347,16,19.957,3677
i080-213,80,350,16,80,350,16,20.199,3678
i080-214,80,350,16,79,347,16,20.204,3734
i080-215,80,350,16,80,350,16,19.410,3681
i080-221,80,3160,16,80,3080,16,22.554,3158
i080-222,80,3160,16,80,3092,16,23.387,3141
i080-223,80,3160,16,80,3089,16,24.128,3156
i080-224,80,3160,16,80,3080,16,23.400,3159
i080-225,80,3160,16,80,3081,16,21.931,3150
i080-231,80,160,16,62,135,16,2.569,4354
i080-232,80,160,16,68,147,16,5.920,4199
i080-233,80,160,16,56,127,16,1.810,4118
i080-234,80,160,16,62,136,16,0.805,4274
i080-235,80,160,16,61,136,14,0.206,4487
i080-241,80,632,16,80,628,16,22.810,3538
i080-242,80,632,16,80,628,16,20.946,3458
i080-243,80,632,16,80,632,16,21.296,3474
i080-244,80,632,16,80,631,16,21.135,3466
i080-245,80,632,16,80,629,16,23.731,3467
i080-301,80,120,20,42,75,16,0.180,5519
i080-302,80,120,20,39,70,12,0.015,5944
i080-303,80,120,20,42,73,16,0.056,5777
i080-304,80,120,20,44,80,16,0.096,5586
i080-305,80,120,20,41,75,18,1.040,5932
i080-311,80,350,20,80,350,20,over 30s,n/a
i080-312,80,350,20,80,350,20,over 30s,n/a
i080-313,80,350,20,80,349,20,over 30s,n/a
i080-314,80,350,20,80,349,20,over 30s,n/a
i080-315,80,350,20,80,348,20,over 30s,n/a
i080-321,80,3160,20,80,3045,20,over 30s,n/a
i080-322,80,3160,20,80,3023,20,over 30s,n/a
i080-323,80,3160,20,80,3038,20,over 30s,n/a
i080-324,80,3160,20,80,3031,20,over 30s,n/a
i080-325,80,3160,20,80,3024,20,over 30s,n/a
i080-331,80,160,20,68,145,20,over 30s,n/a
i080-332,80,160,20,66,144,20,over 30s,n/a
i080-333,80,160,20,59,133,19,over 30s,n/a
i080-334,80,160,20,66,144,20,over 30s,n/a
i080-335,80,160,20,62,140,20,over 30s,n/a
i080-341,80,632,20,80,622,20,over 30s,n/a
i080-342,80,632,20,80,621,20,over 30s,n/a
i080-343,80,632,20,80,617,20,over 30s,n/a
i080-344,80,632,20,80,628,20,over 30s,n/a
i080-345,80,632,20,80,624,20,over 30s,n/a
