name,nodes,edges,terminals,nodes',edges',terminals',time,result
cc3-4p,64,288,8,64,288,8,0.010,2338
cc3-4u,64,288,8,64,288,8,0.011,23
cc3-5p,125,750,13,125,750,13,0.910,3661
cc3-5u,125,750,13,125,750,13,0.874,36
cc6-2p,64,192,12,64,192,12,0.134,3271
cc6-2u,64,192,12,64,192,12,0.139,32
