name,nodes,edges,terminals,nodes',edges',terminals',time,result
b01,50,63,9,0,0,0,0.000,82
b02,50,63,13,0,0,0,0.000,83
b04,50,100,9,10,15,4,0.000,59
b05,50,100,13,2,1,1,0.000,61
b07,75,94,13,0,0,0,0.000,111
b08,75,94,19,0,0,0,0.000,104
b10,75,150,13,33,64,7,0.001,86
b11,75,150,19,0,0,0,0.000,88
b13,100,125,17,15,23,7,0.001,165
b16,100,200,17,52,110,8,0.002,127
