name,nodes,edges,terminals,time
es10fst01,18,20,10,0.000
es10fst02,14,13,10,0.000
es10fst03,17,20,10,0.000
es10fst04,18,20,10,0.000
es10fst05,12,11,10,0.000
es10fst06,17,20,10,0.000
es10fst07,14,13,10,0.000
es10fst08,21,28,10,0.001
es10fst09,21,29,10,0.000
es10fst10,18,21,10,0.000
es10fst11,14,13,10,0.000
es10fst12,13,12,10,0.000
es10fst13,18,21,10,0.000
es10fst14,24,32,10,0.000
es10fst15,16,18,10,0.000
