name,nodes,edges,terminals,time
lin01,53,80,4,0.000
lin02,55,82,6,0.000
lin03,57,84,8,0.001
lin04,157,266,6,0.000
lin05,160,269,9,0.002
lin06,165,274,14,0.004
lin07,307,526,6,0.002
lin08,311,530,10,0.002
lin09,313,532,12,0.005
lin10,321,540,20,0.049
lin11,816,1460,10,0.012
lin12,818,1462,12,0.020
lin13,822,1466,16,0.026
