name,nodes,edges,terminals,time
msm0580,338,541,11,0.008
msm0654,1290,2270,10,0.014
msm0709,1442,2403,16,0.014
msm1008,402,695,11,0.014
msm1234,933,1632,13,0.007
msm1707,278,478,11,0.002
msm1844,90,135,10,0.002
msm1931,875,1522,10,0.007
msm2000,898,1562,10,0.007
msm2326,418,723,14,0.005
msm2705,1359,2458,13,0.020
msm3676,957,1554,10,0.008
msm4038,237,390,11,0.004
msm4114,402,690,16,0.004
msm4190,391,666,16,0.009
msm4224,191,302,11,0.004
msm4414,317,476,11,0.004
msm4515,777,1358,13,0.019
