name,nodes,edges,terminals,time
p455,100,4950,5,0.001
p456,100,4950,5,0.001
p457,100,4950,10,0.003
p458,100,4950,10,0.008
p459,100,4950,20,0.017
p460,100,4950,20,0.018
p463,200,19900,10,0.004
p464,200,19900,20,0.027
