name,nodes,edges,terminals,time
p401,100,4950,5,0.000
p402,100,4950,5,0.001
p403,100,4950,5,0.002
p404,100,4950,10,0.005
p405,100,4950,10,0.009
p406,100,4950,10,0.006
p407,100,4950,20,0.536
p408,100,4950,20,0.192
