name,nodes,edges,terminals,time
dmxa0296,233,386,12,0.003
dmxa0628,169,280,10,0.004
dmxa0734,663,1154,11,0.010
dmxa0848,499,861,16,0.036
dmxa0903,632,1087,10,0.011
dmxa1109,343,559,17,0.014
dmxa1304,298,503,10,0.006
dmxa1516,720,1269,11,0.005
dmxa1721,1005,1731,18,0.028
