name,nodes,edges,terminals,time
taq0023,572,963,11,0.005
taq0431,1128,1905,13,0.016
taq0631,609,932,10,0.008
taq0739,837,1438,16,0.014
taq0741,712,1217,16,0.021
taq0751,1051,1791,16,0.020
taq0891,331,560,10,0.002
taq0910,310,514,17,0.012
taq0920,122,194,17,0.003
taq0978,777,1239,10,0.006
