name,nodes,edges,terminals,time
gap1307,342,552,17,0.020
gap1413,541,906,10,0.011
gap1500,220,374,17,0.005
gap1810,429,702,17,0.011
gap2740,1196,2084,14,0.019
gap2800,386,653,12,0.005
gap2975,179,293,10,0.003
gap3036,346,583,13,0.016
gap3100,921,1558,11,0.008
