name,nodes,edges,terminals,time
d01,1000,1250,5,0.003
d02,1000,1250,10,0.056
d06,1000,2000,5,0.007
d07,1000,2000,10,0.027
d11,1000,5000,5,0.003
d12,1000,5000,10,0.035
d16,1000,25000,5,0.005
d17,1000,25000,10,0.069
