name,nodes,edges,terminals,time
c01,500,625,5,0.001
c02,500,625,10,0.007
c06,500,1000,5,0.002
c07,500,1000,10,0.027
c11,500,2500,5,0.001
c12,500,2500,10,0.022
c16,500,12500,5,0.003
c17,500,12500,10,0.023
