name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i320-001,320,480,8,0.006,0.001,0.003,0.012,2672
i320-002,320,480,8,0.007,0.001,0.002,0.011,2847
i320-003,320,480,8,0.007,0.001,0.002,0.011,2972
i320-004,320,480,8,0.006,0.002,0.003,0.012,2905
i320-005,320,480,8,0.006,0.001,0.003,0.011,2991
i320-011,320,1845,8,0.011,0.002,0.002,0.016,2053
i320-012,320,1845,8,0.012,0.001,0.002,0.015,1997
i320-013,320,1845,8,0.013,0.002,0.002,0.017,2072
i320-014,320,1845,8,0.011,0.001,0.002,0.016,2061
i320-015,320,1845,8,0.011,0.001,0.002,0.015,2059
i320-021,320,51040,8,0.063,0.001,0.002,0.067,1553
i320-022,320,51040,8,0.062,0.001,0.003,0.067,1565
i320-023,320,51040,8,0.061,0.001,0.002,0.065,1549
i320-024,320,51040,8,0.072,0.001,0.002,0.076,1553
i320-025,320,51040,8,0.062,0.001,0.002,0.066,1550
i320-031,320,640,8,0.008,0.001,0.023,0.033,2673
i320-032,320,640,8,0.007,0.001,0.002,0.011,2770
i320-033,320,640,8,0.008,0.001,0.004,0.014,2769
i320-034,320,640,8,0.008,0.001,0.002,0.011,2521
i320-035,320,640,8,0.008,0.001,0.002,0.012,2385
i320-041,320,10208,8,0.031,0.001,0.002,0.034,1707
i320-042,320,10208,8,0.031,0.001,0.002,0.035,1682
i320-043,320,10208,8,0.035,0.002,0.002,0.04,1723
i320-044,320,10208,8,0.03,0.001,0.002,0.034,1681
i320-045,320,10208,8,0.031,0.001,0.002,0.034,1686
i320-101,320,480,17,0.006,0.128,2.161,2.296,5548
i320-102,320,480,17,0.006,0.127,2.163,2.298,5556
i320-103,320,480,17,0.006,0.128,2.185,2.321,6239
i320-104,320,480,17,0.006,0.127,2.161,2.296,5703
i320-105,320,480,17,0.01,0.126,2.175,2.312,5928
i320-111,320,1845,17,0.011,0.171,2.163,2.347,4273
i320-112,320,1845,17,0.012,0.127,2.168,2.307,4213
i320-113,320,1845,17,0.011,0.127,2.181,2.321,4205
i320-114,320,1845,17,0.011,0.128,2.171,2.311,4104
i320-115,320,1845,17,0.011,0.128,2.161,2.3,4238
i320-121,320,51040,17,0.059,0.126,2.174,2.359,3321
i320-122,320,51040,17,0.059,0.128,2.183,2.371,3314
i320-123,320,51040,17,0.06,0.129,2.176,2.365,3332
i320-124,320,51040,17,0.059,0.132,2.181,2.373,3323
i320-125,320,51040,17,0.059,0.127,2.155,2.343,3340
i320-131,320,640,17,0.007,0.128,2.176,2.312,5255
i320-132,320,640,17,0.008,0.126,2.165,2.3,5052
i320-133,320,640,17,0.007,0.126,2.158,2.292,5125
i320-134,320,640,17,0.007,0.126,2.176,2.309,5272
i320-135,320,640,17,0.007,0.126,2.185,2.319,5342
i320-141,320,10208,17,0.03,0.128,2.17,2.329,3606
i320-142,320,10208,17,0.03,0.128,2.167,2.325,3567
i320-143,320,10208,17,0.03,0.127,2.171,2.329,3561
i320-144,320,10208,17,0.038,0.125,2.164,2.327,3512
i320-145,320,10208,17,0.03,0.126,2.184,2.341,3601
