name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
gap1307,342,552,17,0.005,0.133,2.49,2.629,549
gap1413,541,906,10,0.014,0.004,0.017,0.035,457
gap1500,220,374,17,0.002,0.088,1.338,1.428,254
gap1810,429,702,17,0.009,0.17,3.199,3.379,482
gap2740,1196,2084,14,0.073,0.072,1.367,1.512,745
gap2800,386,653,12,0.007,0.006,0.036,0.049,386
gap2975,179,293,10,0.001,0,0.002,0.005,245
gap3036,346,583,13,0.005,0.01,0.07,0.086,457
gap3100,921,1558,11,0.043,0.013,0.088,0.146,640
