name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
diw0250,353,608,11,0.011,0.005,0.015,0.032,350
diw0260,539,985,12,0.01,0.009,0.067,0.088,468
diw0313,468,822,14,0.01,0.035,0.257,0.303,397
diw0393,212,381,11,0.001,0.001,0.007,0.011,302
diw0460,339,579,13,0.005,0.009,0.066,0.081,345
diw0495,938,1655,10,0.043,0.011,0.047,0.101,616
diw0513,918,1684,10,0.038,0.01,0.043,0.092,604
diw0523,1080,2015,10,0.053,0.014,0.064,0.131,561
diw0540,286,465,10,0.003,0.001,0.006,0.011,374
