name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
c01,117,207,5,0.001,0,0,0.001,60
c02,108,193,8,0,0,0,0.001,123
c06,358,808,5,0.012,0.001,0,0.013,55
c07,365,816,9,0.013,0.001,0.001,0.016,94
c11,492,1775,5,0.028,0.002,0,0.03,32
c12,478,1522,9,0.025,0.002,0.001,0.029,45
c16,500,2817,5,0.026,0.002,0,0.028,11
c17,495,2321,8,0.022,0.002,0,0.025,16
