name,nodes,edges,terminals,time
diw0250,353,608,11,0.005
diw0260,539,985,12,0.005
diw0313,468,822,14,0.002
diw0393,212,381,11,0.004
diw0460,339,579,13,0.005
diw0495,938,1655,10,0.011
diw0513,918,1684,10,0.009
diw0523,1080,2015,10,0.007
diw0540,286,465,10,0.005
