name,nodes,edges,terminals,time
p601,100,180,0,0.000
p602,100,180,5,0.000
p603,100,180,5,0.000
p604,100,180,10,0.001
p605,100,180,10,0.002
p606,100,180,10,0.002
p607,100,180,20,0.003
p608,100,180,20,0.010
p609,100,180,20,0.003
p613,200,370,10,0.003
p614,200,370,20,0.033
