name,nodes,edges,terminals,time
i320-001,320,480,8,0.006
i320-002,320,480,8,0.006
i320-003,320,480,8,0.010
i320-004,320,480,8,0.012
i320-005,320,480,8,0.010
i320-011,320,1845,8,0.022
i320-012,320,1845,8,0.030
i320-013,320,1845,8,0.026
i320-014,320,1845,8,0.023
i320-015,320,1845,8,0.028
i320-021,320,51040,8,0.043
i320-022,320,51040,8,0.042
i320-023,320,51040,8,0.044
i320-024,320,51040,8,0.042
i320-025,320,51040,8,0.045
i320-031,320,640,8,0.015
i320-032,320,640,8,0.019
i320-033,320,640,8,0.016
i320-034,320,640,8,0.019
i320-035,320,640,8,0.019
i320-041,320,10208,8,0.037
i320-042,320,10208,8,0.032
i320-043,320,10208,8,0.033
i320-044,320,10208,8,0.031
i320-045,320,10208,8,0.034
i320-101,320,480,17,3.902
i320-102,320,480,17,0.706
i320-103,320,480,17,6.220
i320-104,320,480,17,9.882
i320-105,320,480,17,8.247
i320-111,320,1845,17,over 30s
i320-112,320,1845,17,over 30s
i320-113,320,1845,17,over 30s
i320-114,320,1845,17,over 30s
i320-115,320,1845,17,over 30s
i320-121,320,51040,17,over 30s
i320-122,320,51040,17,over 30s
i320-123,320,51040,17,over 30s
i320-124,320,51040,17,over 30s
i320-125,320,51040,17,over 30s
i320-131,320,640,17,over 30s
i320-132,320,640,17,13.135
i320-133,320,640,17,8.515
i320-134,320,640,17,over 30s
i320-135,320,640,17,over 30s
i320-141,320,10208,17,over 30s
i320-142,320,10208,17,over 30s
i320-143,320,10208,17,over 30s
i320-144,320,10208,17,over 30s
i320-145,320,10208,17,over 30s
