name,nodes,edges,terminals,time
i080-001,80,120,6,0.001
i080-002,80,120,6,0.000
i080-003,80,120,6,0.001
i080-004,80,120,6,0.001
i080-005,80,120,6,0.002
i080-011,80,350,6,0.002
i080-012,80,350,6,0.003
i080-013,80,350,6,0.003
i080-014,80,350,6,0.003
i080-015,80,350,6,0.003
i080-021,80,3160,6,0.005
i080-022,80,3160,6,0.004
i080-023,80,3160,6,0.004
i080-024,80,3160,6,0.004
i080-025,80,3160,6,0.004
i080-031,80,160,6,0.001
i080-032,80,160,6,0.002
i080-033,80,160,6,0.002
i080-034,80,160,6,0.001
i080-035,80,160,6,0.002
i080-041,80,632,6,0.003
i080-042,80,632,6,0.004
i080-043,80,632,6,0.003
i080-044,80,632,6,0.003
i080-045,80,632,6,0.004
i080-101,80,120,8,0.002
i080-102,80,120,8,0.002
i080-103,80,120,8,0.004
i080-104,80,120,8,0.005
i080-105,80,120,8,0.001
i080-111,80,350,8,0.014
i080-112,80,350,8,0.009
i080-113,80,350,8,0.010
i080-114,80,350,8,0.013
i080-115,80,350,8,0.015
i080-121,80,3160,8,0.010
i080-122,80,3160,8,0.012
i080-123,80,3160,8,0.016
i080-124,80,3160,8,0.013
i080-125,80,3160,8,0.011
i080-131,80,160,8,0.002
i080-132,80,160,8,0.009
i080-133,80,160,8,0.003
i080-134,80,160,8,0.010
i080-135,80,160,8,0.002
i080-141,80,632,8,0.010
i080-142,80,632,8,0.013
i080-143,80,632,8,0.011
i080-144,80,632,8,0.014
i080-145,80,632,8,0.015
i080-201,80,120,16,0.025
i080-202,80,120,16,0.027
i080-203,80,120,16,0.025
i080-204,80,120,16,0.040
i080-205,80,120,16,0.018
i080-211,80,350,16,18.774
i080-212,80,350,16,18.882
i080-213,80,350,16,18.596
i080-214,80,350,16,19.537
i080-215,80,350,16,19.026
i080-221,80,3160,16,22.169
i080-222,80,3160,16,22.457
i080-223,80,3160,16,23.922
i080-224,80,3160,16,22.687
i080-225,80,3160,16,22.476
i080-231,80,160,16,2.813
i080-232,80,160,16,6.024
i080-233,80,160,16,2.013
i080-234,80,160,16,0.962
i080-235,80,160,16,0.426
i080-241,80,632,16,22.379
i080-242,80,632,16,20.733
i080-243,80,632,16,20.995
i080-244,80,632,16,20.535
i080-245,80,632,16,22.087
i080-301,80,120,20,0.519
i080-302,80,120,20,0.046
i080-303,80,120,20,0.329
i080-304,80,120,20,0.479
i080-305,80,120,20,1.811
i080-311,80,350,20,over 30s
i080-312,80,350,20,over 30s
i080-313,80,350,20,over 30s
i080-314,80,350,20,over 30s
i080-315,80,350,20,over 30s
i080-321,80,3160,20,over 30s
i080-322,80,3160,20,over 30s
i080-323,80,3160,20,over 30s
i080-324,80,3160,20,over 30s
i080-325,80,3160,20,over 30s
i080-331,80,160,20,over 30s
i080-332,80,160,20,over 30s
i080-333,80,160,20,over 30s
i080-334,80,160,20,over 30s
i080-335,80,160,20,over 30s
i080-341,80,632,20,over 30s
i080-342,80,632,20,over 30s
i080-343,80,632,20,over 30s
i080-344,80,632,20,over 30s
i080-345,80,632,20,over 30s
