name,nodes,edges,terminals,time
b01,50,63,9,0.001
b02,50,63,13,0.002
b04,50,100,9,0.003
b05,50,100,13,0.006
b07,75,94,13,0.005
b08,75,94,19,0.008
b10,75,150,13,0.013
b11,75,150,19,0.015
b13,100,125,17,0.034
b16,100,200,17,0.019
