name,nodes,edges,terminals,time
cc3-4p,64,288,8,0.008
cc3-4u,64,288,8,0.014
cc3-5p,125,750,13,0.881
cc3-5u,125,750,13,0.827
cc6-2p,64,192,12,0.156
cc6-2u,64,192,12,0.145
