name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time
p601,100,180,0,0,0,0,0
p602,37,62,5,0,0,0,0
p603,0,0,0,0,0,0,0
p604,33,57,5,0,0,0,0
p605,20,37,1,0,0,0,0
p606,19,30,3,0,0,0,0
p607,14,22,5,0,0,0,0
p608,0,0,0,0,0,0,0
p609,23,36,8,0,0,0,0
p613,77,127,8,0,0,0,0
p614,80,127,17,0,0.033,0.424,0.457
