name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time
p455,100,991,5,0.001,0,0,0.002
p456,100,850,5,0.001,0,0,0.002
p457,97,664,8,0.001,0,0,0.002
p458,96,583,9,0.001,0,0.001,0.003
p459,89,432,15,0,0.009,0.056,0.066
p460,88,471,17,0,0.04,0.434,0.476
p463,200,1969,10,0.008,0.001,0.003,0.012
p464,189,1621,13,0.006,0.004,0.026,0.038
