name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time
cc3-4p,64,288,8,0,0,0,0
cc3-4u,64,288,8,0,0,0,0
cc3-5p,125,750,13,0.001,0.003,0.015,0.021
cc3-5u,125,750,13,0.001,0.003,0.015,0.02
cc6-2p,64,192,12,0,0,0.003,0.004
cc6-2u,64,192,12,0,0.001,0.003,0.004
