name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time
i640-001,319,635,9,0.008,0.001,0.003,0.013
i640-002,304,614,9,0.008,0.001,0.003,0.013
i640-003,304,612,9,0.007,0.001,0.003,0.012
i640-004,307,622,9,0.007,0.001,0.003,0.012
i640-005,324,642,9,0.008,0.001,0.004,0.014
i640-011,640,4135,9,0.052,0.004,0.011,0.069
i640-012,640,4135,9,0.052,0.005,0.011,0.069
i640-013,640,4135,9,0.052,0.004,0.011,0.068
i640-014,640,4135,9,0.053,0.005,0.011,0.07
i640-015,640,4135,9,0.052,0.004,0.011,0.069
i640-021,640,204467,9,0.423,0.005,0.011,0.44
i640-022,640,204462,9,0.422,0.005,0.016,0.444
i640-023,640,204460,9,0.421,0.005,0.016,0.442
i640-024,640,204463,9,0.421,0.005,0.016,0.443
i640-025,640,204460,9,0.422,0.005,0.016,0.444
i640-031,486,1120,9,0.02,0.003,0.007,0.031
i640-032,478,1116,9,0.026,0.002,0.007,0.037
i640-033,484,1122,9,0.028,0.002,0.007,0.038
i640-034,486,1123,9,0.02,0.003,0.007,0.031
i640-035,481,1119,9,0.02,0.003,0.007,0.03
i640-041,640,40895,9,0.216,0.005,0.011,0.233
i640-042,640,40896,9,0.215,0.005,0.011,0.232
i640-043,640,40896,9,0.215,0.005,0.016,0.236
i640-044,640,40895,9,0.215,0.005,0.016,0.237
i640-045,640,40896,9,0.216,0.005,0.016,0.237
