name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time
i160-001,72,148,7,0,0,0,0.001
i160-002,81,153,7,0,0,0,0
i160-003,68,136,6,0,0,0,0
i160-004,79,152,7,0,0,0,0
i160-005,86,158,7,0,0,0,0.001
i160-011,160,812,7,0.002,0,0,0.004
i160-012,159,811,7,0.002,0,0,0.003
i160-013,160,812,7,0.004,0,0,0.005
i160-014,160,812,7,0.002,0,0,0.003
i160-015,160,812,7,0.007,0.001,0,0.008
i160-021,160,12711,7,0.009,0,0,0.01
i160-022,160,12711,7,0.009,0,0,0.01
i160-023,160,12709,7,0.009,0,0,0.01
i160-024,160,12709,7,0.008,0,0,0.01
i160-025,160,12710,7,0.009,0,0,0.01
i160-031,122,279,7,0.001,0,0,0.001
i160-032,126,283,7,0.001,0,0,0.001
i160-033,117,271,7,0.001,0,0,0.001
i160-034,117,272,7,0.002,0,0,0.003
i160-035,121,279,7,0.001,0.001,0,0.003
i160-041,160,2544,7,0.004,0,0,0.005
i160-042,160,2544,7,0.004,0,0,0.005
i160-043,160,2543,7,0.004,0,0,0.005
i160-044,160,2544,7,0.004,0,0.001,0.006
i160-045,160,2544,7,0.004,0,0,0.006
i160-101,79,149,11,0,0,0.001,0.002
i160-102,74,149,11,0,0,0.001,0.002
i160-103,78,150,11,0,0,0.001,0.002
i160-104,87,164,12,0,0.001,0.003,0.005
i160-105,74,141,11,0,0,0.001,0.002
i160-111,159,810,12,0.002,0.002,0.01,0.015
i160-112,160,812,12,0.002,0.003,0.01,0.016
i160-113,159,811,12,0.002,0.003,0.01,0.016
i160-114,160,812,12,0.002,0.002,0.011,0.016
i160-115,160,812,12,0.002,0.002,0.01,0.015
i160-121,160,12686,12,0.008,0.002,0.009,0.021
i160-122,160,12680,12,0.009,0.002,0.01,0.021
i160-123,160,12680,12,0.008,0.002,0.01,0.021
i160-124,160,12680,12,0.009,0.002,0.011,0.022
i160-125,160,12693,12,0.008,0.002,0.01,0.021
i160-131,120,278,12,0.001,0.001,0.007,0.01
i160-132,117,269,12,0.001,0.001,0.005,0.008
i160-133,126,283,12,0.001,0.001,0.007,0.01
i160-134,121,277,12,0.001,0.002,0.006,0.009
i160-135,125,280,12,0.001,0.001,0.008,0.011
i160-141,160,2541,12,0.004,0.002,0.009,0.017
i160-142,160,2538,12,0.004,0.002,0.011,0.018
i160-143,160,2543,12,0.004,0.002,0.009,0.016
i160-144,160,2544,12,0.004,0.002,0.011,0.018
i160-145,160,2542,12,0.004,0.002,0.009,0.016
