name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time
i080-001,35,69,6,0,0,0,0
i080-002,37,70,6,0,0,0,0
i080-003,36,70,6,0,0,0,0
i080-004,36,67,5,0,0,0,0
i080-005,41,78,6,0,0,0,0
i080-011,80,350,6,0.001,0,0,0.001
i080-012,80,350,6,0,0,0,0.001
i080-013,80,350,6,0,0,0,0
i080-014,80,350,6,0,0,0,0
i080-015,80,350,6,0,0,0,0.001
i080-021,80,3152,6,0.001,0.001,0,0.003
i080-022,80,3153,6,0.001,0,0,0.001
i080-023,80,3156,6,0.001,0,0,0.001
i080-024,80,3154,6,0.001,0,0,0.001
i080-025,80,3158,6,0.001,0,0,0.001
i080-031,61,136,6,0,0,0,0
i080-032,59,135,6,0,0,0,0
i080-033,62,140,6,0,0,0,0
i080-034,61,134,6,0,0,0,0
i080-035,67,143,6,0,0,0,0
i080-041,80,632,6,0,0.001,0,0.002
i080-042,80,632,6,0,0.001,0,0.002
i080-043,80,632,6,0,0,0,0.001
i080-044,80,632,6,0,0,0,0.001
i080-045,80,632,6,0,0,0,0.001
i080-101,40,68,7,0,0,0,0
i080-102,40,76,7,0,0,0,0
i080-103,42,76,8,0,0,0,0
i080-104,38,72,8,0,0,0,0
i080-105,40,72,6,0,0,0,0
i080-111,80,350,8,0.001,0,0,0.002
i080-112,80,350,8,0,0,0,0.001
i080-113,79,348,8,0,0,0,0.001
i080-114,80,350,8,0,0.002,0,0.003
i080-115,80,350,8,0,0,0,0.001
i080-121,80,3147,8,0.001,0,0,0.001
i080-122,80,3151,8,0.001,0,0,0.002
i080-123,80,3149,8,0.001,0,0,0.002
i080-124,80,3149,8,0.001,0,0,0.001
i080-125,80,3150,8,0.001,0,0,0.001
i080-131,64,140,8,0,0,0,0
i080-132,58,133,8,0,0,0,0
i080-133,59,132,8,0,0,0,0
i080-134,62,142,8,0,0,0,0
i080-135,62,138,8,0,0,0,0
i080-141,80,632,8,0.001,0,0,0.002
i080-142,80,632,8,0,0,0,0.001
i080-143,80,632,8,0.001,0,0,0.001
i080-144,80,632,8,0.002,0,0,0.002
i080-145,80,632,8,0.001,0,0,0.002
i080-201,42,80,11,0,0,0,0.001
i080-202,40,73,12,0,0,0.001,0.002
i080-203,26,44,9,0,0,0,0
i080-204,41,73,13,0,0.001,0.005,0.006
i080-205,39,69,10,0,0,0,0
i080-211,80,350,16,0,0.019,0.161,0.181
i080-212,79,347,16,0,0.016,0.165,0.182
i080-213,80,350,16,0.001,0.021,0.162,0.186
i080-214,79,347,16,0,0.021,0.164,0.186
i080-215,80,350,16,0,0.017,0.162,0.18
i080-221,80,3080,16,0.001,0.016,0.163,0.181
i080-222,80,3092,16,0.001,0.016,0.166,0.184
i080-223,80,3089,16,0.001,0.017,0.162,0.18
i080-224,80,3080,16,0.001,0.016,0.164,0.182
i080-225,80,3081,16,0.001,0.018,0.162,0.182
i080-231,62,135,16,0,0.013,0.141,0.154
i080-232,68,147,16,0,0.014,0.148,0.163
i080-233,56,127,16,0,0.012,0.105,0.118
i080-234,62,136,16,0,0.013,0.142,0.155
i080-235,61,136,14,0,0.006,0.016,0.023
i080-241,80,628,16,0,0.016,0.161,0.179
i080-242,80,628,16,0,0.016,0.162,0.18
i080-243,80,632,16,0,0.018,0.163,0.183
i080-244,80,631,16,0,0.016,0.164,0.181
i080-245,80,629,16,0,0.017,0.163,0.181
i080-301,42,75,16,0,0.014,0.083,0.097
i080-302,39,70,12,0,0,0.001,0.002
i080-303,42,73,16,0,0.01,0.082,0.093
i080-304,44,80,16,0,0.009,0.084,0.094
i080-305,41,75,18,0,0.034,0.672,0.706
i080-311,80,350,20,0,0.265,15.382,15.648
i080-312,80,350,20,0,0.269,15.354,15.623
i080-313,80,349,20,0,0.263,15.169,15.433
i080-314,80,349,20,0.001,0.264,15.321,15.587
i080-315,80,348,20,0,0.261,15.27,15.532
i080-321,80,3045,20,0.001,0.26,15.073,15.335
i080-322,80,3023,20,0.001,0.259,15.31,15.571
i080-323,80,3038,20,0.001,0.267,15.489,15.758
i080-324,80,3031,20,0.001,0.26,15.429,15.691
i080-325,80,3024,20,0.001,0.272,15.38,15.653
i080-331,68,145,20,0,0.226,12.974,13.202
i080-332,66,144,20,0,0.22,11.893,12.113
i080-333,59,133,19,0,0.105,3.047,3.153
i080-334,66,144,20,0,0.24,12.033,12.273
i080-335,62,140,20,0,0.205,11.808,12.014
i080-341,80,622,20,0,0.286,15.257,15.545
i080-342,80,621,20,0,0.278,15.409,15.688
i080-343,80,617,20,0.001,0.288,15.403,15.693
i080-344,80,628,20,0,0.291,15.273,15.566
i080-345,80,624,20,0,0.281,15.363,15.646
