test,nodes,edges,terminals,gpu_results,gpu_results_with_preprocessing,wata-orz_results,wata-orz_results_with_preprocessing
i080-242,80,632,16,0.186,1.831,20.733,19.115
i080-243,80,632,16,0.187,1.831,20.995,19.397
i080-244,80,632,16,0.196,1.833,20.535,18.830
i080-245,80,632,16,0.179,1.85,22.087,20.584
i080-302,80,120,20,13.711,0.019,0.046,0.011
i080-311,80,350,20,14.42,over 30s,over 30s,over 30s
i080-312,80,350,20,13.837,over 30s,over 30s,over 30s
i080-313,80,350,20,13.817,over 30s,over 30s,over 30s
i080-314,80,350,20,13.867,over 30s,over 30s,over 30s
i080-315,80,350,20,13.875,over 30s,over 30s,over 30s
i080-321,80,3160,20,14.242,over 30s,over 30s,over 30s
i080-322,80,3160,20,14.453,over 30s,over 30s,over 30s
i080-323,80,3160,20,13.832,over 30s,over 30s,over 30s
i080-324,80,3160,20,13.87,over 30s,over 30s,over 30s
i080-325,80,3160,20,14.006,over 30s,over 30s,over 30s
i080-331,80,160,20,13.779,over 30s,over 30s,over 30s
i080-332,80,160,20,13.746,over 30s,over 30s,over 30s
i080-333,80,160,20,14.067,over 30s,over 30s,over 30s
i080-334,80,160,20,13.86,over 30s,over 30s,over 30s
i080-335,80,160,20,13.854,over 30s,over 30s,over 30s
i080-341,80,632,20,13.773,over 30s,over 30s,over 30s
i080-342,80,632,20,13.658,over 30s,over 30s,over 30s
i080-343,80,632,20,13.384,over 30s,over 30s,over 30s
i080-344,80,632,20,13.597,over 30s,over 30s,over 30s
i080-345,80,632,20,13.994,over 30s,over 30s,over 30s
i160-001,160,240,7,0.002,0,0.004,0.002
i160-002,160,240,7,0.002,0,0.002,0.004
i160-003,160,240,7,0.002,0,0.002,0.003
i160-004,160,240,7,0.002,0.001,0.002,0.003
i160-005,160,240,7,0.002,0.001,0.004,0.004
i160-011,160,812,7,0.003,0.003,0.010,0.006
i160-012,160,812,7,0.003,0.003,0.004,0.006
i160-013,160,812,7,0.003,0.003,0.004,0.009
i160-014,160,812,7,0.003,0.003,0.005,0.007
i160-015,160,812,7,0.003,0.003,0.005,0.008
i160-021,160,12720,7,0.01,0.009,0.010,0.029
i160-022,160,12720,7,0.01,0.009,0.010,0.022
i160-023,160,12720,7,0.01,0.01,0.010,0.021
i160-024,160,12720,7,0.01,0.009,0.011,0.021
i160-025,160,12720,7,0.01,0.009,0.010,0.025
i160-031,160,320,7,0.002,0.001,0.005,0.006
i160-033,160,320,7,0.002,0.001,0.006,0.008
i160-034,160,320,7,0.002,0.001,0.002,0.006
i160-035,160,320,7,0.002,0.001,0.004,0.006
i160-041,160,2544,7,0.005,0.005,0.007,0.011
i160-042,160,2544,7,0.005,0.005,0.008,0.011
i160-043,160,2544,7,0.005,0.005,0.008,0.013
i160-044,160,2544,7,0.005,0.005,0.011,0.010
i160-045,160,2544,7,0.005,0.005,0.008,0.010
i160-101,160,240,12,0.013,0.008,0.036,0.022
i160-102,160,240,12,0.013,0.006,0.071,0.028
i160-103,160,240,12,0.013,0.007,0.021,0.013
i160-105,160,240,12,0.013,0.006,0.032,0.010
i160-111,160,812,12,0.014,0.048,0.492,0.511
i160-112,160,812,12,0.014,0.03,0.530,0.521
i160-113,160,812,12,0.014,0.048,0.518,0.480
i160-114,160,812,12,0.014,0.029,0.472,0.463
i160-115,160,812,12,0.014,0.029,0.478,0.491
i160-121,160,12720,12,0.02,0.036,0.606,0.609
i160-122,160,12720,12,0.02,0.036,0.609,0.586
i160-123,160,12720,12,0.02,0.036,0.596,0.577
i160-124,160,12720,12,0.023,0.036,0.582,0.562
i160-125,160,12720,12,0.02,0.036,0.594,0.566
i160-131,160,320,12,0.013,0.033,0.224,0.193
i160-132,160,320,12,0.013,0.037,0.078,0.069
i160-133,160,320,12,0.013,0.031,0.201,0.183
i160-134,160,320,12,0.013,0.038,0.056,0.049
i160-135,160,320,12,0.013,0.042,0.095,0.083
i160-141,160,2544,12,0.02,0.031,0.599,0.551
i160-142,160,2544,12,0.016,0.032,0.565,0.542
i160-143,160,2544,12,0.016,0.031,0.548,0.539
i160-144,160,2544,12,0.016,0.031,0.543,0.541
i160-145,160,2544,12,0.016,0.031,0.551,0.539
i320-002,320,480,8,0.011,0.002,0.006,0.008
i320-003,320,480,8,0.011,0.003,0.010,0.007
i320-004,320,480,8,0.012,0.002,0.012,0.013
i320-005,320,480,8,0.011,0.002,0.010,0.008
i320-011,320,1845,8,0.016,0.013,0.022,0.029
i320-012,320,1845,8,0.015,0.013,0.030,0.028
i320-013,320,1845,8,0.017,0.013,0.026,0.029
i320-014,320,1845,8,0.016,0.013,0.023,0.028
i320-015,320,1845,8,0.015,0.013,0.028,0.030
i320-031,320,640,8,0.033,0.005,0.015,0.017
i320-032,320,640,8,0.011,0.006,0.019,0.019
i320-033,320,640,8,0.014,0.005,0.016,0.016
i320-034,320,640,8,0.011,0.005,0.019,0.017
i320-035,320,640,8,0.012,0.006,0.019,0.018
i320-041,320,10208,8,0.034,0.033,0.037,0.037
i320-043,320,10208,8,0.04,0.032,0.033,0.041
i320-045,320,10208,8,0.034,0.032,0.034,0.040
i320-101,320,480,17,2.296,2.252,3.902,2.709
i320-102,320,480,17,2.298,0.324,0.706,0.244
i320-104,320,480,17,2.296,7.183,9.882,8.168
i320-105,320,480,17,2.312,2.57,8.247,5.566
i320-111,320,1845,17,2.347,9.158,over 30s,over 30s
i320-112,320,1845,17,2.307,9.21,over 30s,over 30s
i320-113,320,1845,17,2.321,9.186,over 30s,over 30s
i320-114,320,1845,17,2.311,9.181,over 30s,over 30s
i320-115,320,1845,17,2.3,9.18,over 30s,over 30s
i320-121,320,51040,17,2.359,9.196,over 30s,over 30s
i320-122,320,51040,17,2.371,9.197,over 30s,over 30s
i320-123,320,51040,17,2.365,9.228,over 30s,over 30s
i320-124,320,51040,17,2.373,9.226,over 30s,over 30s
i320-125,320,51040,17,2.343,9.196,over 30s,over 30s
i320-131,320,640,17,2.312,9.593,over 30s,over 30s
