name,nodes,edges,terminals,nodes',edges',terminals',time,result
p619,100,180,5,0,0,0,0.001,7485
p620,100,180,5,0,0,0,0.001,8746
p621,100,180,5,0,0,0,0.001,8688
p622,100,180,10,11,15,5,0.002,15972
p623,100,180,10,24,38,8,0.003,19496
p624,100,180,20,0,0,0,0.002,20246
p625,100,180,20,16,23,8,0.004,23078
p626,100,180,20,0,0,0,0.002,22346
p630,200,370,10,0,0,0,0.002,26125
p631,200,370,20,18,27,7,0.009,39067
