name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
gap1307,342,552,17,0.012,0.352,10.127,10.492,549
gap1413,541,906,10,0.017,0.278,0.002,0.298,457
gap1500,220,374,17,0.003,0.319,7.796,8.119,254
gap1810,429,702,17,0.013,0.431,12.515,12.96,482
gap2740,1196,2084,14,0.077,0.303,1.573,1.954,745
gap2800,386,653,12,0.015,0.27,0.065,0.351,386
gap2975,179,293,10,0.002,0.194,0.002,0.199,245
gap3036,346,583,13,0.01,0.28,0.158,0.449,457
gap3100,921,1558,11,0.05,0.268,0.132,0.451,640
