name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i320-001,320,480,8,0.012,0.283,0,0.296,2672
i320-002,320,480,8,0.011,0.217,0,0.229,2847
i320-003,320,480,8,0.012,0.197,0,0.21,2972
i320-004,320,480,8,0.013,0.274,0,0.288,2905
i320-005,320,480,8,0.01,0.246,0,0.257,2991
i320-011,320,1845,8,0.015,0.26,0,0.276,2053
i320-012,320,1845,8,0.016,0.238,0,0.256,1997
i320-013,320,1845,8,0.016,0.295,0,0.312,2072
i320-014,320,1845,8,0.015,0.3,0,0.316,2061
i320-015,320,1845,8,0.015,0.277,0,0.293,2059
i320-021,320,51040,8,0.06,0.264,0,0.325,1553
i320-022,320,51040,8,0.062,0.279,0.001,0.343,1565
i320-023,320,51040,8,0.059,0.356,0,0.416,1549
i320-024,320,51040,8,0.06,0.266,0,0.326,1553
i320-025,320,51040,8,0.059,0.28,0,0.34,1550
i320-031,320,640,8,0.015,0.26,0,0.276,2673
i320-032,320,640,8,0.014,0.216,0,0.23,2770
i320-033,320,640,8,0.012,0.271,0,0.284,2769
i320-034,320,640,8,0.012,0.28,0,0.293,2521
i320-035,320,640,8,0.012,0.302,0.001,0.316,2385
i320-041,320,10208,8,0.032,0.295,0,0.328,1707
i320-042,320,10208,8,0.03,0.252,0,0.283,1682
i320-043,320,10208,8,0.033,0.272,0,0.306,1723
i320-044,320,10208,8,0.033,0.236,0,0.27,1681
i320-045,320,10208,8,0.033,0.283,0,0.317,1686
i320-101,320,480,17,0.011,0.385,9.043,9.44,5548
i320-102,320,480,17,0.013,0.437,9.044,9.495,5556
i320-103,320,480,17,0.008,0.338,9.045,9.392,6239
i320-104,320,480,17,0.011,0.372,9.046,9.43,5703
i320-105,320,480,17,0.014,0.372,9.049,9.436,5928
i320-111,320,1845,17,0.016,0.376,8.972,9.365,4273
i320-112,320,1845,17,0.015,0.339,8.972,9.327,4213
i320-113,320,1845,17,0.016,0.408,8.971,9.396,4205
i320-114,320,1845,17,0.016,0.407,8.998,9.422,4104
i320-115,320,1845,17,0.018,0.404,8.997,9.42,4238
i320-121,320,51040,17,0.058,0.418,8.996,9.474,3321
i320-122,320,51040,17,0.059,0.379,9.026,9.464,3314
i320-123,320,51040,17,0.059,0.351,9.022,9.432,3332
i320-124,320,51040,17,0.058,0.356,9.047,9.462,3323
i320-125,320,51040,17,0.059,0.401,9.024,9.484,3340
i320-131,320,640,17,0.014,0.333,9.053,9.401,5255
i320-132,320,640,17,0.013,0.367,9.047,9.428,5052
i320-133,320,640,17,0.014,0.418,8.999,9.431,5125
i320-134,320,640,17,0.014,0.364,8.971,9.349,5272
i320-135,320,640,17,0.014,0.38,8.971,9.367,5342
i320-141,320,10208,17,0.032,0.466,8.992,9.491,3606
i320-142,320,10208,17,0.032,0.378,9.037,9.449,3567
i320-143,320,10208,17,0.033,0.41,9.019,9.463,3561
i320-144,320,10208,17,0.031,0.363,9.051,9.446,3512
i320-145,320,10208,17,0.03,0.364,9.045,9.441,3601
