name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i160-001,160,240,7,0.027,0,0,0.027,2490
i160-002,160,240,7,0.018,0,0,0.019,2158
i160-003,160,240,7,0.018,0,0,0.019,2297
i160-004,160,240,7,0.018,0,0,0.018,2370
i160-005,160,240,7,0.019,0,0,0.02,2495
i160-011,160,812,7,0.025,0,0,0.026,1677
i160-012,160,812,7,0.033,0,0,0.034,1750
i160-013,160,812,7,0.031,0,0,0.032,1661
i160-014,160,812,7,0.026,0,0,0.027,1778
i160-015,160,812,7,0.027,0,0,0.028,1768
i160-021,160,12720,7,0.135,0,0,0.136,1352
i160-022,160,12720,7,0.133,0,0,0.135,1365
i160-023,160,12720,7,0.128,0,0,0.129,1351
i160-024,160,12720,7,0.127,0,0,0.127,1371
i160-025,160,12720,7,0.128,0,0,0.129,1366
i160-031,160,320,7,0.02,0,0,0.021,2170
i160-032,160,320,7,0.019,0,0,0.02,2330
i160-033,160,320,7,0.019,0,0,0.019,2101
i160-034,160,320,7,0.021,0,0,0.022,2083
i160-035,160,320,7,0.02,0,0,0.021,2103
i160-041,160,2544,7,0.046,0,0,0.047,1494
i160-042,160,2544,7,0.046,0,0,0.047,1486
i160-043,160,2544,7,0.046,0,0,0.047,1549
i160-044,160,2544,7,0.045,0,0,0.046,1478
i160-045,160,2544,7,0.046,0,0,0.047,1554
i160-101,160,240,12,0.017,0.002,0.036,0.055,3859
i160-102,160,240,12,0.016,0.002,0.025,0.044,3747
i160-103,160,240,12,0.016,0.002,0.036,0.055,3837
i160-104,160,240,12,0.022,0.003,0.033,0.059,4063
i160-105,160,240,12,0.018,0.002,0.027,0.048,3563
i160-111,160,812,12,0.025,0.002,0.031,0.059,2869
i160-112,160,812,12,0.027,0.002,0.03,0.059,2924
i160-113,160,812,12,0.027,0.002,0.029,0.059,2866
i160-114,160,812,12,0.029,0.002,0.03,0.062,2989
i160-115,160,812,12,0.028,0.002,0.033,0.063,2937
i160-121,160,12720,12,0.132,0.002,0.025,0.16,2363
i160-122,160,12720,12,0.131,0.002,0.03,0.164,2348
i160-123,160,12720,12,0.137,0.002,0.03,0.17,2355
i160-124,160,12720,12,0.143,0.002,0.034,0.181,2352
i160-125,160,12720,12,0.132,0.002,0.031,0.165,2351
i160-131,160,320,12,0.02,0.002,0.029,0.053,3356
i160-132,160,320,12,0.019,0.002,0.025,0.047,3450
i160-133,160,320,12,0.02,0.002,0.025,0.047,3585
i160-134,160,320,12,0.019,0.002,0.025,0.047,3470
i160-135,160,320,12,0.019,0.002,0.036,0.058,3716
i160-141,160,2544,12,0.046,0.002,0.036,0.085,2549
i160-142,160,2544,12,0.046,0.002,0.036,0.085,2562
i160-143,160,2544,12,0.047,0.002,0.036,0.086,2557
i160-144,160,2544,12,0.052,0.002,0.052,0.106,2607
i160-145,160,2544,12,0.046,0.002,0.025,0.073,2578
