name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
antiwheel5,10,15,5,0,0.208,0,0.208,7
design432,8,20,4,0,0.219,0,0.219,9
oddcycle3,6,9,3,0,0.23,0,0.23,4
oddwheel3,7,9,4,0,0.314,0,0.314,5
se03,13,21,4,0,0.228,0,0.228,12
