name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i640-001,640,960,9,0.028,0.004,0.011,0.045,4033
i640-002,640,960,9,0.029,0.005,0.012,0.046,3588
i640-003,640,960,9,0.028,0.005,0.013,0.047,3438
i640-004,640,960,9,0.028,0.005,0.013,0.047,4000
i640-005,640,960,9,0.028,0.004,0.011,0.045,4006
i640-011,640,4135,9,0.051,0.004,0.011,0.068,2392
i640-012,640,4135,9,0.05,0.004,0.011,0.067,2465
i640-013,640,4135,9,0.051,0.004,0.011,0.068,2399
i640-014,640,4135,9,0.05,0.004,0.011,0.067,2171
i640-015,640,4135,9,0.051,0.004,0.011,0.068,2347
i640-021,640,204480,9,0.416,0.005,0.011,0.433,1749
i640-022,640,204480,9,0.42,0.005,0.016,0.442,1756
i640-023,640,204480,9,0.424,0.005,0.016,0.446,1754
i640-024,640,204480,9,0.42,0.005,0.017,0.443,1751
i640-025,640,204480,9,0.42,0.005,0.016,0.442,1745
i640-031,640,1280,9,0.032,0.004,0.017,0.055,3278
i640-032,640,1280,9,0.033,0.004,0.015,0.053,3187
i640-033,640,1280,9,0.032,0.004,0.011,0.049,3260
i640-034,640,1280,9,0.033,0.004,0.011,0.049,2953
i640-035,640,1280,9,0.032,0.005,0.011,0.049,3292
i640-041,640,40896,9,0.216,0.005,0.011,0.232,1897
i640-042,640,40896,9,0.216,0.005,0.017,0.238,1934
i640-043,640,40896,9,0.216,0.005,0.017,0.239,1931
i640-044,640,40896,9,0.211,0.005,0.017,0.234,1938
i640-045,640,40896,9,0.212,0.004,0.016,0.233,1866
