name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
dmxa0296,233,386,12,0.032,0.003,0.076,0.112,344
dmxa0628,169,280,10,0.018,0,0.002,0.021,275
dmxa0734,663,1154,11,0.292,0.008,0.073,0.374,506
dmxa0848,499,861,16,0.17,0.101,6.765,7.037,594
dmxa0903,632,1087,10,0.271,0.005,0.002,0.279,580
dmxa1109,343,559,17,0.083,0.145,14.631,14.86,454
dmxa1304,298,503,10,0.062,0.001,0.002,0.066,311
dmxa1516,720,1269,11,0.355,0.009,0.029,0.394,508
dmxa1721,1005,1731,18,n/a,n/a,n/a,over 30s,n/a
