name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
diw0250,353,608,11,0.078,0.003,0.027,0.108,350
diw0260,539,985,12,0.21,0.009,0.192,0.412,468
diw0313,468,822,14,0.149,0.024,0.435,0.61,397
diw0393,212,381,11,0.029,0.001,0.012,0.043,302
diw0460,339,579,13,0.075,0.009,0.213,0.297,345
diw0495,938,1655,10,0.6,0.01,0.002,0.613,616
diw0513,918,1684,10,0.559,0.01,0.002,0.572,604
diw0523,1080,2015,10,0.787,0.014,0.002,0.803,561
diw0540,286,465,10,0.059,0.001,0.002,0.063,374
