name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
d01,1000,1250,5,0.774,0.009,0,0.784,106
d02,1000,1250,10,0.774,0.012,0.002,0.789,220
d06,1000,2000,5,0.991,0.009,0,1.001,67
d07,1000,2000,10,0.989,0.012,0.002,1.003,103
d11,1000,5000,5,1.528,0.009,0,1.538,29
d12,1000,5000,10,1.527,0.012,0.002,1.542,42
d16,1000,25000,5,3.125,0.009,0,3.135,13
d17,1000,25000,10,3.125,0.012,0.002,3.139,23
