test,n,m,t,DW CPU,DW GPU,DW GPU P,Pruning,Pruning P
i080-113,80,350,8,0.031,0.001,0.001,0.010,0.010
i080-114,80,350,8,0.032,0.001,0.003,0.013,0.016
i080-115,80,350,8,0.027,0.001,0.001,0.015,0.015
i080-121,80,3160,8,0.042,0.002,0.001,0.010,0.016
i080-122,80,3160,8,0.047,0.001,0.002,0.012,0.014
i080-123,80,3160,8,0.04,0.002,0.002,0.016,0.016
i080-124,80,3160,8,0.044,0.002,0.001,0.013,0.017
i080-125,80,3160,8,0.042,0.002,0.001,0.011,0.012
i080-131,80,160,8,0.031,0.001,0.000,0.002,0.003
i080-132,80,160,8,0.03,0.001,0.000,0.009,0.006
i080-133,80,160,8,0.03,0.001,0.000,0.003,0.003
i080-134,80,160,8,0.03,0.001,0.000,0.010,0.011
i080-135,80,160,8,0.032,0.001,0.000,0.002,0.006
i080-141,80,632,8,0.033,0.001,0.002,0.010,0.017
i080-142,80,632,8,0.036,0.001,0.001,0.013,0.013
i080-143,80,632,8,0.034,0.001,0.001,0.011,0.013
i080-144,80,632,8,0.034,0.002,0.002,0.014,0.012
i080-145,80,632,8,0.033,0.001,0.002,0.015,0.015
i080-201,80,120,16,25.62,0.162,0.001,0.025,0.009
i080-202,80,120,16,25.48,0.162,0.002,0.027,0.013
i080-203,80,120,16,26.091,0.162,0.000,0.025,0.004
i080-204,80,120,16,25.748,0.163,0.006,0.040,0.019
i080-205,80,120,16,26.054,0.162,0.000,0.018,0.003
i080-211,80,350,16,25.941,0.167,0.181,18.774,18.520
i080-212,80,350,16,26.199,0.163,0.182,18.882,18.226
i080-213,80,350,16,26.121,0.176,0.186,18.596,19.095
i080-214,80,350,16,26.478,0.19,0.186,19.537,19.030
i080-215,80,350,16,26.912,0.189,0.18,19.026,18.637
i080-221,80,3160,16,26.951,0.191,0.181,22.169,22.040
i080-222,80,3160,16,27.448,0.192,0.184,22.457,21.294
i080-223,80,3160,16,26.808,0.191,0.18,23.922,21.431
i080-224,80,3160,16,27.429,0.181,0.182,22.687,21.355
