test,nodes,edges,terminals,gpu_results,cpu_results,wata-orz_results,wata-orz_results_with_preprocessing
i160-021,160,12720,7,0.01,0.178,0.010,0.029
i160-022,160,12720,7,0.01,0.162,0.010,0.022
i160-023,160,12720,7,0.01,0.163,0.010,0.021
i160-024,160,12720,7,0.01,0.163,0.011,0.021
i160-025,160,12720,7,0.01,0.168,0.010,0.025
i160-031,160,320,7,0.002,0.064,0.005,0.006
i160-033,160,320,7,0.002,0.069,0.006,0.008
i160-035,160,320,7,0.002,0.058,0.004,0.006
i160-041,160,2544,7,0.005,0.086,0.007,0.011
i160-042,160,2544,7,0.005,0.082,0.008,0.011
i160-043,160,2544,7,0.005,0.083,0.008,0.013
i160-044,160,2544,7,0.005,0.086,0.011,0.010
i160-045,160,2544,7,0.005,0.084,0.008,0.010
i160-101,160,240,12,0.013,1.698,0.036,0.022
i160-102,160,240,12,0.013,1.676,0.071,0.028
i160-103,160,240,12,0.013,1.565,0.021,0.013
i160-104,160,240,12,0.013,1.635,0.020,0.015
i160-105,160,240,12,0.013,1.621,0.032,0.010
i160-111,160,812,12,0.014,1.673,0.492,0.511
i160-112,160,812,12,0.014,1.63,0.530,0.521
i160-113,160,812,12,0.014,1.607,0.518,0.480
i160-114,160,812,12,0.014,1.664,0.472,0.463
i160-115,160,812,12,0.014,1.62,0.478,0.491
i160-121,160,12720,12,0.02,1.741,0.606,0.609
i160-122,160,12720,12,0.02,1.782,0.609,0.586
i160-123,160,12720,12,0.02,1.789,0.596,0.577
i160-124,160,12720,12,0.023,1.737,0.582,0.562
i160-125,160,12720,12,0.02,1.668,0.594,0.566
i160-131,160,320,12,0.013,1.601,0.224,0.193
i160-132,160,320,12,0.013,1.658,0.078,0.069
i160-133,160,320,12,0.013,1.63,0.201,0.183
i160-134,160,320,12,0.013,1.689,0.056,0.049
i160-135,160,320,12,0.013,1.632,0.095,0.083
i160-141,160,2544,12,0.02,1.627,0.599,0.551
i160-142,160,2544,12,0.016,1.591,0.565,0.542
i160-143,160,2544,12,0.016,1.677,0.548,0.539
i160-144,160,2544,12,0.016,1.632,0.543,0.541
i160-145,160,2544,12,0.016,1.761,0.551,0.539
i320-011,320,1845,8,0.016,0.383,0.022,0.029
i320-012,320,1845,8,0.015,0.382,0.030,0.028
i320-013,320,1845,8,0.017,0.385,0.026,0.029
i320-014,320,1845,8,0.016,0.385,0.023,0.028
i320-015,320,1845,8,0.015,0.387,0.028,0.030
i320-032,320,640,8,0.011,0.347,0.019,0.019
i320-033,320,640,8,0.014,0.347,0.016,0.016
i320-034,320,640,8,0.011,0.35,0.019,0.017
i320-035,320,640,8,0.012,0.35,0.019,0.018
i320-041,320,10208,8,0.034,0.552,0.037,0.037
i320-101,320,480,17,2.296,over 30s,3.902,2.709
i320-103,320,480,17,2.321,over 30s,6.220,4.533
i320-104,320,480,17,2.296,over 30s,9.882,8.168
i320-105,320,480,17,2.312,over 30s,8.247,5.566
i320-111,320,1845,17,2.347,over 30s,over 30s,over 30s
i320-112,320,1845,17,2.307,over 30s,over 30s,over 30s
i320-113,320,1845,17,2.321,over 30s,over 30s,over 30s
i320-114,320,1845,17,2.311,over 30s,over 30s,over 30s
i320-115,320,1845,17,2.3,over 30s,over 30s,over 30s
i320-121,320,51040,17,2.359,over 30s,over 30s,over 30s
i320-122,320,51040,17,2.371,over 30s,over 30s,over 30s
i320-123,320,51040,17,2.365,over 30s,over 30s,over 30s
i320-124,320,51040,17,2.373,over 30s,over 30s,over 30s
i320-125,320,51040,17,2.343,over 30s,over 30s,over 30s
i320-131,320,640,17,2.312,over 30s,over 30s,over 30s
i320-133,320,640,17,2.292,over 30s,8.515,7.962
i320-134,320,640,17,2.309,over 30s,over 30s,over 30s
i320-135,320,640,17,2.319,over 30s,over 30s,over 30s
i320-141,320,10208,17,2.329,over 30s,over 30s,over 30s
i320-142,320,10208,17,2.325,over 30s,over 30s,over 30s
i320-143,320,10208,17,2.329,over 30s,over 30s,over 30s
i320-144,320,10208,17,2.327,over 30s,over 30s,over 30s
i320-145,320,10208,17,2.341,over 30s,over 30s,over 30s
i640-011,640,4135,9,0.068,2.603,0.090,0.097
i640-012,640,4135,9,0.067,2.608,0.084,0.094
i640-013,640,4135,9,0.068,2.59,0.101,0.100
i640-014,640,4135,9,0.067,2.603,0.090,0.085
i640-015,640,4135,9,0.068,2.596,0.084,0.083
lin01,53,80,4,0,0.004,0.000,0.001
lin02,55,82,6,0,0.01,0.000,0.000
lin03,57,84,8,0,0.019,0.001,0.001
msm1844,90,135,10,0.001,0.127,0.002,0.001
p458,100,4950,10,0.004,0.175,0.008,0.015
p405,100,4950,10,0.006,0.192,0.009,0.010
p623,100,180,10,0.002,0.152,0.004,0.003
p601,100,180,0,0,0,0.000,over 30s
cc3-4p,64,288,8,0,0.024,0.008,0.006
cc3-4u,64,288,8,0,0.023,0.014,0.010
cc3-5p,125,750,13,0.024,2.478,0.881,0.841
cc3-5u,125,750,13,0.022,2.47,0.827,0.801
cc6-2p,64,192,12,0.004,0.377,0.156,0.128
cc6-2u,64,192,12,0.004,0.375,0.145,0.132
antiwheel5,10,15,5,0,0,0.000,0.000
design432,8,20,4,0,0,0.000,0.000
oddcycle3,6,9,3,0,0,0.000,0.000
oddwheel3,7,9,4,0,0,0.000,0.000
se03,13,21,4,0,0,0.000,0.000
