name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
d01,1000,1250,5,18.257,0,0.295,18.553,106
d02,1000,1250,10,18.225,0.001,10.333,28.56,220
d06,1000,2000,5,18.111,0,0.294,18.405,67
d07,1000,2000,10,18.226,0.001,10.342,28.57,103
d11,1000,5000,5,18.368,0,0.293,18.662,29
d12,1000,5000,10,18.277,0.001,10.336,28.616,42
d16,1000,25000,5,18.191,0,0.293,18.484,13
d17,1000,25000,10,18.224,0.001,10.318,28.544,23
