name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
diw0250,353,608,11,0.088,0.001,2.983,3.072,350
diw0260,539,985,12,0.185,0.003,13.603,13.792,468
diw0313,468,822,14,n/a,n/a,n/a,over 30s,n/a
diw0393,212,381,11,0.037,0,1.153,1.192,302
diw0460,339,579,13,0.072,0.004,12.782,12.859,345
diw0495,938,1655,10,0.55,0.001,9.246,9.798,616
diw0513,918,1684,10,0.526,0.001,9.059,9.587,604
diw0523,1080,2015,10,0.76,0.001,12.324,13.086,561
diw0540,286,465,10,0.055,0,0.952,1.008,374
