name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i160-001,160,240,7,0.023,0,0.033,0.057,2490
i160-002,160,240,7,0.024,0,0.033,0.057,2158
i160-003,160,240,7,0.024,0,0.033,0.057,2297
i160-004,160,240,7,0.024,0,0.035,0.059,2370
i160-005,160,240,7,0.021,0,0.034,0.056,2495
i160-011,160,812,7,0.03,0,0.033,0.064,1677
i160-012,160,812,7,0.034,0,0.034,0.068,1750
i160-013,160,812,7,0.033,0,0.034,0.068,1661
i160-014,160,812,7,0.034,0,0.034,0.068,1778
i160-015,160,812,7,0.032,0,0.035,0.067,1768
i160-021,160,12720,7,0.141,0,0.036,0.178,1352
i160-022,160,12720,7,0.129,0,0.033,0.162,1365
i160-023,160,12720,7,0.129,0,0.033,0.163,1351
i160-024,160,12720,7,0.13,0,0.033,0.163,1371
i160-025,160,12720,7,0.134,0,0.034,0.168,1366
i160-031,160,320,7,0.026,0,0.037,0.064,2170
i160-032,160,320,7,0.029,0,0.042,0.072,2330
i160-033,160,320,7,0.03,0,0.038,0.069,2101
i160-034,160,320,7,0.027,0,0.035,0.063,2083
i160-035,160,320,7,0.023,0,0.034,0.058,2103
i160-041,160,2544,7,0.051,0,0.034,0.086,1494
i160-042,160,2544,7,0.049,0,0.033,0.082,1486
i160-043,160,2544,7,0.049,0,0.033,0.083,1549
i160-044,160,2544,7,0.052,0,0.034,0.086,1478
i160-045,160,2544,7,0.051,0,0.033,0.084,1554
i160-101,160,240,12,0.021,0.001,1.675,1.698,3859
i160-102,160,240,12,0.022,0.001,1.651,1.676,3747
i160-103,160,240,12,0.024,0.001,1.54,1.565,3837
i160-104,160,240,12,0.023,0.001,1.61,1.635,4063
i160-105,160,240,12,0.025,0.001,1.594,1.621,3563
i160-111,160,812,12,0.031,0.001,1.641,1.673,2869
i160-112,160,812,12,0.033,0.001,1.596,1.63,2924
i160-113,160,812,12,0.033,0.001,1.573,1.607,2866
i160-114,160,812,12,0.033,0.001,1.629,1.664,2989
i160-115,160,812,12,0.034,0.001,1.584,1.62,2937
i160-121,160,12720,12,0.136,0.001,1.603,1.741,2363
i160-122,160,12720,12,0.138,0.001,1.643,1.782,2348
i160-123,160,12720,12,0.143,0.001,1.644,1.789,2355
i160-124,160,12720,12,0.142,0.001,1.593,1.737,2352
i160-125,160,12720,12,0.129,0.001,1.537,1.668,2351
i160-131,160,320,12,0.027,0.001,1.571,1.601,3356
i160-132,160,320,12,0.029,0.001,1.628,1.658,3450
i160-133,160,320,12,0.028,0.001,1.6,1.63,3585
i160-134,160,320,12,0.024,0.001,1.662,1.689,3470
i160-135,160,320,12,0.026,0.001,1.604,1.632,3716
i160-141,160,2544,12,0.049,0.001,1.576,1.627,2549
i160-142,160,2544,12,0.047,0.001,1.543,1.591,2562
i160-143,160,2544,12,0.049,0.001,1.625,1.677,2557
i160-144,160,2544,12,0.049,0.001,1.581,1.632,2607
i160-145,160,2544,12,0.051,0.001,1.708,1.761,2578
